nj=10;
np=8;
vCapa=20;
Express={1 2};
Jobs={
< 1 30792 21611 1 6 429000 489000 "cus" "pkup" "y" 1 0 >
< 2 49256 1163 2 20 151000 211000 "cus" "pkup" "y" 2 0 >
< 3 31284 41613 3 9 275000 335000 "cus" "pkup" "n" 3 0 >
< 4 49040 6118 4 20 87000 147000 "cus" "pkup" "n" 4 0 >
< 5 43522 5032 5 11 519000 579000 "cus" "pkup" "n" 5 0 >
< 6 20092 47851 6 14 35000 95000 "cus" "pkup" "n" 6 0 >
< 7 29362 43857 7 20 497000 557000 "cus" "pkup" "n" 7 0 >
< 8 43592 16373 8 12 361000 421000 "cus" "pkup" "n" 8 0 >
< 9 8425 35962 9 9 398000 458000 "cus" "pkup" "n" 9 0 >
< 10 22590 4106 10 16 263000 323000 "cus" "pkup" "n" 10 0 >
< 11 1927 28760 1 -6 458000 518000 "cus" "drop" "y" 11 0 >
< 12 40713 20398 2 -20 172000 232000 "cus" "drop" "y" 12 0 >
< 13 23997 42655 3 -9 282000 342000 "cus" "drop" "n" 13 0 >
< 14 4641 41602 4 -20 143000 203000 "cus" "drop" "n" 14 0 >
< 15 19457 28911 5 -11 552000 612000 "cus" "drop" "n" 15 0 >
< 16 49712 41703 6 -14 65000 125000 "cus" "drop" "n" 16 0 >
< 17 27729 30525 7 -20 510000 570000 "cus" "drop" "n" 17 0 >
< 18 29411 35205 8 -12 384000 444000 "cus" "drop" "n" 18 0 >
< 19 21106 14542 9 -9 422000 482000 "cus" "drop" "n" 19 0 >
< 20 6231 27622 10 -16 291000 351000 "cus" "drop" "n" 20 0 >
< 21 25000 25000 21 0 0 1000000 "veh" "depot" "n" 21 0 >
< 22 25000 25000 21 0 0 1000000 "veh" "depot" "n" 22 0 >
< 23 33936 23701 1 6 429000 489000 "cus" "pkup" "y" 1 3775 >
< 24 26245 20751 1 6 429000 489000 "cus" "pkup" "y" 1 4627 >
< 25 9179 34569 1 -6 458000 518000 "cus" "drop" "y" 1 9291 >
< 26 -603 37999 1 -6 458000 518000 "cus" "drop" "y" 1 9579 >
< 27 52970 -3275 2 20 151000 211000 "cus" "pkup" "y" 2 5787 >
< 28 53751 -197 2 20 151000 211000 "cus" "pkup" "y" 2 4696 >
< 29 41210 25740 2 -20 172000 232000 "cus" "drop" "y" 2 5365 >
< 30 31783 22247 2 -20 172000 232000 "cus" "drop" "y" 2 9119 >
};
